freq,B,C,D-1,D-2
1113.69,97.5131,97.6621,100.2124,100.0598
1114.654,97.4914,97.6874,100.1718,100.012
1115.618,97.4568,97.7891,100.1224,99.9541
1116.582,97.4128,97.9563,100.0624,99.8843
1117.547,97.3605,98.1698,99.9893,99.7994
1118.511,97.2975,98.4069,99.8991,99.695
1119.475,97.2195,98.646,99.7871,99.5656
1120.439,97.122,98.8699,99.648,99.4061
1121.404,97.0016,99.0674,99.4773,99.2125
1122.368,96.8566,99.2335,99.2737,98.9853
1123.332,96.6864,99.3671,99.0417,98.7316
1124.296,96.49,99.4696,98.7936,98.4671
1125.26,96.2646,99.5436,98.5499,98.2156
1126.225,96.0055,99.592,98.3377,98.0063
1127.189,95.7065,99.6182,98.1853,97.8684
1128.153,95.3607,99.626,98.1161,97.8242
1129.117,94.9607,99.6195,98.1432,97.8838
1130.082,94.4989,99.6025,98.2649,98.0416
1131.046,93.9679,99.5779,98.4651,98.2773
1132.01,93.3603,99.5467,98.7168,98.5601
1132.974,92.6716,99.5075,98.988,98.8556
1133.939,91.9037,99.4555,99.2491,99.133
1134.903,91.0691,99.3824,99.4783,99.3708
1135.867,90.1941,99.2768,99.6641,99.5591
1136.831,89.3204,99.1266,99.805,99.6982
1137.796,88.5015,98.9221,99.9066,99.7954
1138.76,87.7964,98.6611,99.9772,99.8604
1139.724,87.2605,98.3536,100.0246,99.902
1140.688,86.9361,98.0249,100.0546,99.9263
1141.652,86.8449,97.7135,100.0712,99.9377
1142.617,86.9863,97.4658,100.0772,99.939
1143.581,87.3397,97.3255,100.0759,99.9333
1144.545,87.8715,97.3224,100.0705,99.9242
1145.509,88.543,97.4636,100.0644,99.915
1146.474,89.3169,97.7306,100.0599,99.9077
1147.438,90.1606,98.0822,100.0576,99.903
1148.402,91.0462,98.4648,100.0569,99.8999
1149.366,91.9491,98.8251,100.0559,99.8965
1150.331,92.8463,99.1227,100.0535,99.8915
1151.295,93.7154,99.3369,100.0494,99.8847
1152.259,94.5355,99.4683,100.0443,99.8768
1153.223,95.2887,99.5334,100.0393,99.869
1154.188,95.9611,99.5565,100.035,99.862
1155.152,96.5442,99.5611,100.0309,99.8551
1156.116,97.0348,99.5642,100.0251,99.8467
1157.08,97.4345,99.5751,100.0157,99.8346
1158.044,97.749,99.5966,100.0011,99.8171
1159.009,97.9866,99.6276,99.9806,99.7939
1159.973,98.1571,99.6658,99.9551,99.7656
1160.937,98.271,99.7088,99.9258,99.7333
1161.901,98.3379,99.7536,99.8934,99.6979
1162.866,98.3666,99.7964,99.858,99.6593
1163.83,98.3646,99.8326,99.8186,99.6166
1164.794,98.3384,99.8578,99.7739,99.5688
1165.758,98.2948,99.8691,99.7229,99.5155
1166.723,98.2409,99.8661,99.6647,99.4566
1167.687,98.1849,99.8512,99.5985,99.3922
1168.651,98.1349,99.8282,99.522,99.3208
1169.615,98.0984,99.8006,99.4303,99.2387
1170.579,98.08,99.7703,99.3164,99.1394
1171.544,98.0805,99.7373,99.1717,99.015
1172.508,98.0965,99.7013,98.9897,98.8589
1173.472,98.1208,99.6628,98.7687,98.6685
1174.436,98.1449,99.6243,98.5147,98.4478
1175.401,98.161,99.5904,98.2415,98.2067
1176.365,98.1641,99.5664,97.9687,97.9594
1177.329,98.1528,99.5559,97.7171,97.7202
1178.293,98.1292,99.5599,97.5038,97.4998
1179.258,98.0978,99.5759,97.3376,97.3023
1180.222,98.0639,99.5989,97.2182,97.126
1181.186,98.0321,99.6237,97.138,96.9664
1182.15,98.0056,99.6466,97.087,96.8214
1183.115,97.9856,99.6662,97.0588,96.6961
1184.079,97.9723,99.683,97.0547,96.6047
1185.043,97.9644,99.6979,97.086,96.5706
1186.007,97.9602,99.7109,97.1664,96.6154
1186.971,97.9575,99.7206,97.3099,96.7566
1187.936,97.9547,99.725,97.5241,96.9989
1188.9,97.9506,99.7226,97.8045,97.3312
1189.864,97.9453,99.7132,98.1345,97.7266
1190.828,97.9398,99.6989,98.4875,98.1483
1191.793,97.9358,99.6829,98.833,98.5572
1192.757,97.9346,99.6685,99.1437,98.9201
1193.721,97.9364,99.6579,99.4008,99.2156
1194.685,97.9393,99.6515,99.5967,99.4364
1195.65,97.9397,99.6487,99.7344,99.5878
1196.614,97.9323,99.6486,99.8241,99.6828
1197.578,97.9116,99.6508,99.8787,99.7376
1198.542,97.8722,99.6556,99.9099,99.7659
1199.506,97.8099,99.6637,99.9258,99.7776
1200.471,97.7214,99.6747,99.9305,99.7777
1201.435,97.6042,99.6873,99.9258,99.7685
1202.399,97.4578,99.6985,99.9123,99.7508
1203.363,97.2843,99.7055,99.8912,99.7261
1204.328,97.0901,99.7065,99.8645,99.6964
1205.292,96.8874,99.7017,99.8343,99.6638
1206.256,96.6939,99.6934,99.8022,99.6301
1207.22,96.5311,99.6847,99.7693,99.5962
1208.185,96.4205,99.6782,99.7359,99.5624
1209.149,96.3789,99.6751,99.7031,99.5295
1210.113,96.4139,99.6746,99.6726,99.4991
1211.077,96.5218,99.6746,99.6471,99.4735
1212.042,96.6879,99.6734,99.6299,99.4559
1213.006,96.8901,99.6706,99.6232,99.448
1213.97,97.104,99.6672,99.6273,99.45
1214.934,97.3079,99.6648,99.64,99.4597
1215.898,97.4863,99.6649,99.6575,99.4736
1216.863,97.6314,99.6674,99.6755,99.4872
1217.827,97.7414,99.6709,99.6905,99.4975
1218.791,97.819,99.6733,99.7009,99.503
1219.755,97.8687,99.6728,99.7068,99.5041
1220.72,97.8955,99.6691,99.7095,99.502
1221.684,97.9045,99.6636,99.7103,99.4981
1222.648,97.9006,99.6583,99.7095,99.4927
1223.612,97.8885,99.6549,99.7068,99.4854
1224.577,97.8725,99.6535,99.7011,99.4752
1225.541,97.8557,99.6529,99.6919,99.4615
1226.505,97.8397,99.6511,99.6796,99.4444
1227.469,97.8243,99.6463,99.665,99.4248
1228.433,97.8083,99.6384,99.6493,99.404
1229.398,97.79,99.6284,99.6332,99.3824
1230.362,97.7682,99.6186,99.6161,99.3597
1231.326,97.7429,99.6102,99.5968,99.3347
1232.29,97.7145,99.6034,99.5739,99.3059
1233.255,97.6832,99.5971,99.5464,99.2726
1234.219,97.6485,99.5893,99.5145,99.235
1235.183,97.6086,99.5784,99.4796,99.1944
1236.147,97.5616,99.5643,99.4432,99.1522
1237.112,97.5054,99.5481,99.4063,99.1097
1238.076,97.4391,99.5317,99.369,99.0668
1239.04,97.3631,99.5164,99.3306,99.0228
1240.004,97.2781,99.5022,99.29,98.9767
1240.969,97.1851,99.4877,99.2467,98.9279
1241.933,97.084,99.4705,99.2014,98.8767
1242.897,96.9739,99.449,99.1551,98.8245
1243.861,96.8539,99.4229,99.1092,98.7722
1244.825,96.7242,99.3931,99.0642,98.7204
1245.79,96.5871,99.3612,99.0192,98.6683
1246.754,96.4475,99.3287,98.9726,98.6142
1247.718,96.3117,99.2955,98.9221,98.556
1248.682,96.1865,99.2608,98.8666,98.4924
1249.647,96.0771,99.223,98.8057,98.4232
1250.611,95.9862,99.1814,98.7405,98.3494
1251.575,95.914,99.1366,98.6724,98.2727
1252.539,95.8582,99.0909,98.6026,98.1944
