freq,B2-1,B2-2,C
1324.857,96.7105,97.6401,98.9852
1325.821,96.5275,97.5066,99.1107
1326.785,96.3181,97.3541,99.2032
1327.75,96.0841,97.1839,99.265
1328.714,95.8263,96.9964,99.3025
1329.678,95.544,96.791,99.3241
1330.642,95.2364,96.5669,99.3377
1331.606,94.9024,96.3232,99.3487
1332.571,94.5401,96.0584,99.3592
1333.535,94.1461,95.7702,99.3684
1334.499,93.7148,95.4545,99.3738
1335.463,93.239,95.1065,99.3735
1336.428,92.7122,94.7217,99.3672
1337.392,92.1321,94.2988,99.3571
1338.356,91.504,93.8417,99.3465
1339.32,90.8414,93.3604,99.3387
1340.285,90.1636,92.8691,99.3348
1341.249,89.49,92.3825,99.3337
1342.213,88.8363,91.9123,99.3329
1343.177,88.2121,91.4661,99.3298
1344.141,87.6226,91.0482,99.3236
1345.106,87.0714,90.6619,99.3152
1346.07,86.5642,90.3116,99.3064
1347.034,86.1097,90.0038,99.2988
1347.998,85.72,89.7471,99.2929
1348.963,85.4084,89.5506,99.2877
1349.927,85.1859,89.4213,99.281
1350.891,85.0594,89.3629,99.2713
1351.855,85.0299,89.375,99.2581
1352.82,85.0934,89.4531,99.2428
1353.784,85.2421,89.5905,99.2275
1354.748,85.4658,89.7785,99.2139
1355.712,85.7528,90.0079,99.202
1356.677,86.0901,90.2688,99.1898
1357.641,86.4629,90.5506,99.1743
1358.605,86.854,90.8408,99.1526
1359.569,87.2425,91.1252,99.1238
1360.533,87.6033,91.3864,99.0894
1361.498,87.9089,91.6058,99.0533
1362.462,88.1331,91.7655,99.0197
1363.426,88.2569,91.8531,98.9919
1364.39,88.2737,91.8645,98.9702
1365.355,88.1906,91.8057,98.9529
1366.319,88.0261,91.6899,98.9375
1367.283,87.8044,91.5349,98.9223
1368.247,87.5517,91.3592,98.9067
1369.212,87.2939,91.1814,98.8913
1370.176,87.0568,91.02,98.8761
1371.14,86.8661,90.8932,98.8605
1372.104,86.7458,90.8174,98.8419
1373.068,86.7141,90.8051,98.8176
1374.033,86.7787,90.8605,98.7857
1374.997,86.9337,90.9786,98.7471
1375.961,87.161,91.1458,98.7055
1376.925,87.4345,91.3432,98.6661
1377.89,87.7277,91.552,98.633
1378.854,88.0188,91.7571,98.608
1379.818,88.2961,91.9507,98.5894
1380.782,88.5586,92.1328,98.5736
1381.747,88.8157,92.3108,98.5562
1382.711,89.0842,92.4971,98.5343
1383.675,89.3833,92.7058,98.507
1384.639,89.7279,92.9473,98.4751
1385.604,90.1209,93.2236,98.4398
1386.568,90.549,93.5247,98.4013
1387.532,90.9831,93.8295,98.3577
1388.496,91.3869,94.1123,98.3055
